url_length,url_entropy,url_digit_ratio,url_special_ratio,has_https,has_ip,domain_length,domain_entropy,num_subdomains,domain_digit_ratio,num_hyphens,num_underscores,suspicious_tld,domain_has_vowels,path_length,num_path_segments,path_entropy,has_exe,query_length,num_query_params,query_entropy,ttl_normalized,name_server_count,domain_age_days,has_page_rank,has_alexa_rank,has_organization,has_registrant,is_shortened,has_punycode,obfuscated,label,source
38,4.444524223628302,0.10526315789473684,0.15789473684210525,1.0,0.0,21,3.6537567082870006,1,0.0,0,0,0.0,1.0,9,1,3.169925001442312,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
28,3.6995138503199656,0.5357142857142857,0.2857142857142857,0.0,1.0,19,3.076103170996722,0,0.7894736842105263,0,0,0.0,0.0,2,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
30,3.7110804962442776,0.5666666666666667,0.26666666666666666,0.0,1.0,21,3.1009166856947723,0,0.8095238095238095,0,0,0.0,0.0,2,1,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
69,4.45892098021293,0.07246376811594203,0.11594202898550725,0.0,0.0,17,3.4548223999466066,0,0.0,0,0,0.0,1.0,45,2,4.070204908528851,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
48,4.551428324170391,0.3125,0.20833333333333334,0.0,1.0,15,2.5492553971684995,0,0.8,0,0,0.0,0.0,26,2,4.132944044980958,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
40,4.3275671571169285,0.05,0.25,1.0,0.0,11,3.095795255000934,1,0.09090909090909091,1,0,0.0,1.0,10,1,2.7219280948873625,0.0,10,1,3.121928094887362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
42,4.356370398866214,0.2857142857142857,0.21428571428571427,0.0,1.0,14,2.8423709931771093,0,0.7857142857142857,0,0,0.0,0.0,21,2,3.8208888513501877,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
36,4.138830127032207,0.3611111111111111,0.3055555555555556,0.0,1.0,14,2.699513850319966,0,0.7857142857142857,0,0,0.0,0.0,15,1,3.3735572622751855,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_text
76,4.595968631579973,0.39473684210526316,0.2236842105263158,0.0,1.0,19,3.1158340921632197,0,0.7894736842105263,0,0,0.0,0.0,50,7,4.373340441068116,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,urlhaus_csv_online
18,3.5724312513221195,0.0,0.2777777777777778,0.0,0.0,10,2.9219280948873623,0,0.0,0,0,0.0,1.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,majestic_million
